name,scenario,mode,repeat,path,prompt_sha256,requests,success_rate,ttft_p50_ms,ttft_p95_ms,fg_ttft_p50_ms,fg_ttft_p95_ms,return_ttft_p50_ms,return_ttft_p95_ms,tpot_p95_ms,latency_p95_ms,throughput,output_tokens_per_s,goodput,slo_pct,load_valid,actual_rate,dispatch_lag_p95_ms,query_tokens,hit_tokens,gpu_hit_pct,prompt_tokens,server_prompt_tokens,server_completed,preemptions,prompt_min,prompt_max,queue_mean_ms,prefill_mean_ms,decode_mean_ms,inference_mean_ms,waiting_peak,active_kv_peak,gpu_util_mean_pct,gpu_memory_peak_mib,invalid_gpu_memory_samples,gpu_temp_peak_c,l2_lookups,l2_hits,l2_external_tokens,l2_rejected,l2_stores,l2_loads,l2_evictions,l2_bytes_written,l2_bytes_read,l2_save_ms,l2_load_ms,l2_resident_mib,l2_write_mib,l2_read_mib,counter_valid
128MiB,gap0_bg2,closed,1,results\prefix-study\published-20260913\stage2\128MiB\gap0_bg2\closed\run1.json.gz,2d675729d6fe9f59c7074f212e09e67b252c2b115f5d7f34ba0715b121c2bd99,96,1.0,194.678,256.158,193.83499999999998,245.022575,194.46949999999998,235.67593,21.143,767.077,5.495,175.8408,5.2660644731142225,95.83333333333334,True,,,60768.0,896.0,1.474460242232754,60768,60768.0,96.0,0.0,544,1041,0.006718656254160275,128.59997957290167,544.186460010413,672.7864395833146,0.0,0.6907216494845361,77.6842105263158,4579.0,0,82.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
128MiB,gap0_bg2,closed,2,results\prefix-study\published-20260913\stage2\128MiB\gap0_bg2\closed\run2.json.gz,aae19efc4468b82aa1cc4c2b5e07e03e00a0b8789b1e45d66326a36437628c8f,96,1.0,197.537,258.244,196.65295,246.68482999999998,196.84750000000003,236.878035,21.308,772.479,5.4864,175.5664,5.3149976202526785,96.875,True,,,60768.0,896.0,1.474460242232754,60768,60768.0,96.0,0.0,544,1041,0.0071588229175745255,129.1761369270811,545.8754443750067,675.0515813020878,0.0,0.6907216494845361,77.42105263157895,4579.0,0,83.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
128MiB,gap0_bg2,open-3,1,results\prefix-study\published-20260913\stage2\128MiB\gap0_bg2\open-3\run1.json.gz,2d675729d6fe9f59c7074f212e09e67b252c2b115f5d7f34ba0715b121c2bd99,96,1.0,66.78,99.21,87.0069,106.26501999999999,87.30605,106.30334,18.332,639.919,2.9756,95.2205,2.97564204514018,100.0,True,3.000484331864085,5.8135249964825775,60768.0,896.0,1.474460242232754,60768,60768.0,96.0,0.0,544,1041,0.003874260407599195,59.01132117710498,539.2033899374932,598.2147111145982,0.0,0.35051546391752575,81.60606060606061,4579.0,0,73.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
128MiB,gap0_bg2,open-3,2,results\prefix-study\published-20260913\stage2\128MiB\gap0_bg2\open-3\run2.json.gz,aae19efc4468b82aa1cc4c2b5e07e03e00a0b8789b1e45d66326a36437628c8f,96,1.0,66.678,99.107,86.17885000000001,106.46484999999998,86.89705000000001,106.66905,18.318,642.154,2.9756,95.2185,2.944581427750045,98.95833333333334,True,3.0015158413271084,8.093500011454147,60768.0,896.0,1.474460242232754,60768,60768.0,96.0,0.0,544,1041,0.0038461145782283284,59.34100549998552,539.6360194479305,598.977024947916,0.0,0.35051546391752575,81.6969696969697,4579.0,0,79.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
128MiB,gap0_bg2,open-6,1,results\prefix-study\published-20260913\stage2\128MiB\gap0_bg2\open-6\run1.json.gz,2d675729d6fe9f59c7074f212e09e67b252c2b115f5d7f34ba0715b121c2bd99,96,1.0,459.809,913.934,481.64535,915.7853849999999,494.81335,917.636445,21.343,1566.077,5.604,179.3277,1.3426225691818383,23.958333333333336,True,6.003221391787835,14.973308339297553,60768.0,896.0,1.474460242232754,60768,60768.0,96.0,0.0,544,1041,393.3588304999868,61.41060519793484,637.7597645416629,699.1703697395976,5.0,0.70446735395189,77.63157894736842,4579.0,0,85.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
128MiB,gap0_bg2,open-6,2,results\prefix-study\published-20260913\stage2\128MiB\gap0_bg2\open-6\run2.json.gz,aae19efc4468b82aa1cc4c2b5e07e03e00a0b8789b1e45d66326a36437628c8f,96,1.0,380.211,813.88,393.36275,814.4196199999999,433.18285000000003,814.9591399999999,21.272,1462.689,5.6199,179.8372,1.931844864427518,34.375,True,5.997039242789632,13.985158334738902,60768.0,896.0,1.474460242232754,60768,60768.0,96.0,0.0,544,1041,324.2060620937532,61.31998305209644,634.1012917499901,695.4212748020865,5.0,0.70446735395189,77.47368421052632,4579.0,0,85.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
256MiB,gap0_bg2,closed,1,results\prefix-study\published-20260913\stage2\256MiB\gap0_bg2\closed\run1.json.gz,2d675729d6fe9f59c7074f212e09e67b252c2b115f5d7f34ba0715b121c2bd99,96,1.0,138.616,179.104,138.03745,177.80140999999998,136.63850000000002,140.89463,19.247,691.247,6.012,192.3856,5.761547220920829,95.83333333333334,True,,,60768.0,22448.0,36.94049499736703,60768,60768.0,96.0,0.0,544,1041,0.005378479161303555,86.26790887500846,532.9475353333256,619.215444208334,0.0,0.33732876712328763,77.16666666666667,4719.0,0,76.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
256MiB,gap0_bg2,closed,2,results\prefix-study\published-20260913\stage2\256MiB\gap0_bg2\closed\run2.json.gz,aae19efc4468b82aa1cc4c2b5e07e03e00a0b8789b1e45d66326a36437628c8f,96,1.0,138.453,180.904,137.5426,177.972575,122.42155,141.665515,19.151,693.496,6.0639,194.0461,5.8744430648978145,96.875,True,,,60768.0,22432.0,36.914165350184305,60768,60768.0,96.0,0.0,544,1041,0.005547833313338894,85.22953236457671,531.5730456145905,616.8025779791672,0.0,0.3167808219178082,81.70588235294117,4719.0,0,75.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
256MiB,gap0_bg2,open-3,1,results\prefix-study\published-20260913\stage2\256MiB\gap0_bg2\open-3\run1.json.gz,2d675729d6fe9f59c7074f212e09e67b252c2b115f5d7f34ba0715b121c2bd99,96,1.0,65.937,69.601,35.3352,69.47329,35.075649999999996,37.152125,17.441,607.249,2.9824,95.4358,2.9823683316224585,100.0,True,3.0010291065825725,4.841450001549563,60768.0,22496.0,37.01948393891522,60768,60768.0,96.0,0.0,544,1041,0.003564468746238466,42.9676672291753,525.074073520822,568.0417407499974,0.0,0.17465753424657537,83.9090909090909,4733.0,0,72.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
256MiB,gap0_bg2,open-3,2,results\prefix-study\published-20260913\stage2\256MiB\gap0_bg2\open-3\run2.json.gz,aae19efc4468b82aa1cc4c2b5e07e03e00a0b8789b1e45d66326a36437628c8f,96,1.0,65.895,70.283,34.97825,70.30874499999999,34.7791,36.190884999999994,17.482,608.84,2.9826,95.4439,2.9826232370211145,100.0,True,3.00051304667213,6.276141665391144,60768.0,22432.0,36.914165350184305,60768,60768.0,96.0,0.0,544,1041,0.004112593754731127,43.00557272915739,523.8061167187453,566.8116894479027,0.0,0.17465753424657537,82.03030303030303,4744.0,0,73.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
256MiB,gap0_bg2,open-6,1,results\prefix-study\published-20260913\stage2\256MiB\gap0_bg2\open-6\run1.json.gz,2d675729d6fe9f59c7074f212e09e67b252c2b115f5d7f34ba0715b121c2bd99,96,1.0,67.131,234.592,36.61535,201.57716999999997,36.4905,102.50405499999994,19.887,820.541,5.8538,187.3218,5.731853059922316,97.91666666666666,True,6.003019619973261,6.135799998447045,60768.0,22496.0,37.01948393891522,60768,60768.0,96.0,0.0,544,1041,18.544302729146978,44.45349154167625,585.8098329479233,630.2633244895995,2.0,0.33390410958904104,74.94444444444444,4720.0,0,79.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
256MiB,gap0_bg2,open-6,2,results\prefix-study\published-20260913\stage2\256MiB\gap0_bg2\open-6\run2.json.gz,aae19efc4468b82aa1cc4c2b5e07e03e00a0b8789b1e45d66326a36437628c8f,96,1.0,82.916,408.011,82.91625,375.13403999999997,45.41255,334.99064999999996,20.503,1026.363,5.8643,187.6585,5.070201211851393,86.45833333333334,True,6.00369429428658,7.703791669579574,60768.0,22432.0,36.914165350184305,60768,60768.0,96.0,0.0,544,1041,83.46166655208502,45.30794266667234,598.6727443333327,643.980687000005,3.0,0.2962328767123288,81.22222222222223,4720.0,0,73.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
512MiB,gap0_bg2,closed,1,results\prefix-study\published-20260913\stage2\512MiB\gap0_bg2\closed\run1.json.gz,2d675729d6fe9f59c7074f212e09e67b252c2b115f5d7f34ba0715b121c2bd99,96,1.0,138.036,179.494,137.70675,177.73333499999998,135.31925,140.59562,19.122,705.437,6.0014,192.0444,5.751329995061358,95.83333333333334,True,,,60768.0,22496.0,37.01948393891522,60768,60768.0,96.0,0.0,544,1041,0.005509729184893786,87.22063186458466,534.9549013333123,622.1755331978968,0.0,0.17536355859709152,75.94444444444444,4923.0,0,77.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
512MiB,gap0_bg2,closed,2,results\prefix-study\published-20260913\stage2\512MiB\gap0_bg2\closed\run2.json.gz,aae19efc4468b82aa1cc4c2b5e07e03e00a0b8789b1e45d66326a36437628c8f,96,1.0,139.093,181.259,138.58845,180.414465,124.28915,141.99523499999998,19.229,700.125,6.0598,193.9132,5.870420133344385,96.875,True,,,60768.0,22432.0,36.914165350184305,60768,60768.0,96.0,0.0,544,1041,0.005874979147317087,84.85767419793906,534.0471924999785,618.9048666979176,0.0,0.16852010265183914,76.27777777777777,4923.0,0,82.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
512MiB,gap0_bg2,open-3,1,results\prefix-study\published-20260913\stage2\512MiB\gap0_bg2\open-3\run1.json.gz,2d675729d6fe9f59c7074f212e09e67b252c2b115f5d7f34ba0715b121c2bd99,96,1.0,65.784,69.396,34.77375000000001,69.915355,34.704899999999995,36.868854999999996,17.616,614.601,2.9818,95.4172,2.9817881696684685,100.0,True,3.001333489310525,5.284974995447556,60768.0,22496.0,37.01948393891522,60768,60768.0,96.0,0.0,544,1041,0.003898000000409259,43.75917562500101,527.5583066458414,571.3174822708424,0.0,0.09238665526090672,81.36363636363636,4923.0,0,76.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
512MiB,gap0_bg2,open-3,2,results\prefix-study\published-20260913\stage2\512MiB\gap0_bg2\open-3\run2.json.gz,aae19efc4468b82aa1cc4c2b5e07e03e00a0b8789b1e45d66326a36437628c8f,96,1.0,66.126,69.002,35.16445,69.873025,34.9792,37.173714999999994,17.461,605.051,2.9818,95.4178,2.9507456565334538,98.95833333333334,True,3.000821722908935,8.645291671807387,60768.0,22432.0,36.914165350184305,60768,60768.0,96.0,0.0,544,1041,0.004827822939053779,44.06988118744929,526.0887236562818,570.1586048437312,0.0,0.09238665526090672,81.63636363636364,4923.0,0,80.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
512MiB,gap0_bg2,open-6,1,results\prefix-study\published-20260913\stage2\512MiB\gap0_bg2\open-6\run1.json.gz,2d675729d6fe9f59c7074f212e09e67b252c2b115f5d7f34ba0715b121c2bd99,96,1.0,67.528,165.843,36.42255,145.49437999999998,36.23435,63.66453499999997,19.887,763.207,5.8645,187.6643,5.864510025685332,100.0,True,6.006095731970922,7.161166659594764,60768.0,22496.0,37.01948393891522,60768,60768.0,96.0,0.0,544,1041,10.905632125007022,43.80214774999066,590.4464039375009,634.2485516874916,1.0,0.17365269461077848,77.16666666666667,4923.0,0,76.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
